Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
International Journal of Oral Science,1674-2818,2049-3169,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"4,719",12.2,Q1,3.97,100.0
Clinical Gastroenterology and Hepatology,1542-3565,1542-7714,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"30,789",12.2,Q1,2.9,21.44
CANADIAN MEDICAL ASSOCIATION JOURNAL,0820-3946,1488-2329,"MEDICINE, GENERAL & INTERNAL",SCIE,"18,414",12.2,Q1,2.52,100.0
CLINICAL PSYCHOLOGY REVIEW,0272-7358,1873-7811,"PSYCHOLOGY, CLINICAL",SSCI,"23,886",12.2,Q1,2.25,40.54
GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,ECOLOGY,SCIE,"76,283",12.1,Q1,2.7,46.92
JOURNAL OF BIOMEDICAL SCIENCE,1021-7770,1423-0127,CELL BIOLOGY,SCIE,"10,531",12.1,Q1,1.54,100.0
MOLECULAR THERAPY,1525-0016,1525-0024,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"29,767",12.0,Q1,2.89,27.6
ALLERGY,0105-4538,1398-9995,ALLERGY,SCIE,"26,190",12.0,Q1,2.12,47.23
Redox Biology,2213-2317,2213-2317,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"34,943",11.9,Q1,2.46,99.91
Asian Journal of Pharmaceutical Sciences,1818-0876,1818-0876,PHARMACOLOGY & PHARMACY,SCIE,"5,112",11.9,Q1,2.39,99.44
JOURNAL OF INFECTION,0163-4453,1532-2742,INFECTIOUS DISEASES,SCIE,"12,444",11.9,Q1,1.85,48.36
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,0190-9622,1097-6787,DERMATOLOGY,SCIE,"38,702",11.8,Q1,3.35,17.39
Med,2666-6340,2666-6340,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,"2,228",11.8,Q1,3.2,20.67
JACC-Heart Failure,2213-1779,2213-1787,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"9,430",11.8,Q1,3.07,25.57
MEDICAL IMAGE ANALYSIS,1361-8415,1361-8423,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"24,169",11.8,Q1,2.59,30.91
CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,1879-0305,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"8,464",11.8,Q1,1.05,19.87
BRAIN,0006-8950,1460-2156,CLINICAL NEUROLOGY,SCIE,"62,642",11.7,Q1,3.4,40.55
BIOLOGICAL REVIEWS,1464-7931,1469-185X,BIOLOGY,SCIE,"21,672",11.7,Q1,2.86,46.22
Blood Cancer Journal,2044-5385,2044-5385,HEMATOLOGY,SCIE,"8,357",11.6,Q1,2.36,100.0
PLANT CELL,1040-4651,1532-298X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"63,239",11.6,Q1,2.31,30.45
Plant Communications,2590-3462,2590-3462,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"4,413",11.6,Q1,2.14,100.0
MEDICINAL RESEARCH REVIEWS,0198-6325,1098-1128,PHARMACOLOGY & PHARMACY,SCIE,"9,793",11.6,Q1,1.61,18.23
Blood Cancer Discovery,2643-3230,2643-3249,HEMATOLOGY,ESCI,"1,370",11.5,Q1,2.83,41.98
JOURNAL OF CONTROLLED RELEASE,0168-3659,1873-4995,PHARMACOLOGY & PHARMACY,SCIE,"73,956",11.5,Q1,2.13,18.05
Biomarker Research,,2050-7771,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"4,951",11.5,Q1,1.67,100.0
JACC-Cardiovascular Interventions,1936-8798,1876-7605,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"18,003",11.4,Q1,3.01,16.06
EDUCATIONAL PSYCHOLOGIST,0046-1520,1532-6985,"PSYCHOLOGY, EDUCATIONAL",SSCI,"8,696",11.4,Q1,2.57,9.62
Evidence-Based Mental Health,1362-0347,1468-960X,PSYCHIATRY,SCIE,"2,670",11.4,Q1,1.79,66.67
Annual Review of Cell and Developmental Biology,1081-0706,1530-8995,CELL BIOLOGY,SCIE,"9,934",11.4,Q1,1.36,58.18
Annual Review of Ecology Evolution and Systematics,1543-592X,1545-2069,ECOLOGY,SCIE,"21,436",11.4,Q1,1.28,66.67
JAMA Health Forum,2689-0186,2689-0186,HEALTH CARE SCIENCES & SERVICES,SCIE,"3,613",11.3,Q1,2.34,99.37
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,1080-0549,1559-0267,ALLERGY,SCIE,"6,337",11.3,Q1,1.74,27.52
Genome Medicine,1756-994X,1756-994X,GENETICS & HEREDITY,SCIE,"13,655",11.2,Q1,2.81,100.0
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,1097-6825,ALLERGY,SCIE,"56,346",11.2,Q1,2.43,24.42
Alzheimers & Dementia,1552-5260,1552-5279,CLINICAL NEUROLOGY,SCIE,"35,014",11.1,Q1,3.35,69.77
Human Reproduction Open,,2399-3529,OBSTETRICS & GYNECOLOGY,SCIE,"2,506",11.1,Q1,3.08,99.34
JAMA Dermatology,2168-6068,2168-6084,DERMATOLOGY,SCIE,"11,404",11.0,Q1,3.82,12.8
Gut Microbes,1949-0976,1949-0984,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"19,283",11.0,Q1,2.58,99.89
Current Obesity Reports,2162-4968,2162-4968,NUTRITION & DIETETICS,SCIE,"4,228",11.0,Q1,2.11,44.54
TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,1362-4326,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"20,181",11.0,Q1,1.32,16.98
Arthritis & Rheumatology,2326-5191,2326-5205,RHEUMATOLOGY,SCIE,"21,036",10.9,Q1,3.16,38.97
Research,2096-5168,2639-5274,MULTIDISCIPLINARY SCIENCES,SCIE,"9,394",10.9,Q1,1.88,100.0
EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,1879-0844,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"21,362",10.8,Q1,3.4,40.19
Nature Cardiovascular Research,,2731-0590,CARDIAC & CARDIOVASCULAR SYSTEMS,ESCI,"1,796",10.8,Q1,2.81,32.77
EBioMedicine,2352-3964,2352-3964,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"31,874",10.8,Q1,2.54,98.83
MedComm,,2688-2663,"MEDICINE, RESEARCH & EXPERIMENTAL",ESCI,"4,098",10.7,Q1,1.68,99.28
BRITISH JOURNAL OF DERMATOLOGY,0007-0963,1365-2133,DERMATOLOGY,SCIE,"32,076",10.6,Q1,3.24,41.49
JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,1540-9538,IMMUNOLOGY,SCIE,"61,545",10.6,Q1,2.66,54.18
Cardiovascular Diabetology,,1475-2840,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"18,535",10.6,Q1,2.5,100.0
Cell Reports Medicine,2666-3791,2666-3791,CELL BIOLOGY,SCIE,"8,858",10.6,Q1,2.3,99.77
Journal for ImmunoTherapy of Cancer,,2051-1426,IMMUNOLOGY,SCIE,"31,330",10.6,Q1,2.15,99.56
NATURAL PRODUCT REPORTS,0265-0568,1460-4752,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"14,019",10.6,Q1,1.39,28.37
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,1569-1705,1572-9826,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"5,884",10.6,Q1,1.03,27.68
PHARMACOLOGICAL RESEARCH,1043-6618,1096-1186,PHARMACOLOGY & PHARMACY,SCIE,"36,321",10.5,Q1,2.4,70.91
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"77,385",10.5,Q1,2.25,9.03
PLANT BIOTECHNOLOGY JOURNAL,1467-7644,1467-7652,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"20,155",10.5,Q1,2.25,99.51
CANCER TREATMENT REVIEWS,0305-7372,1532-1967,ONCOLOGY,SCIE,"12,791",10.5,Q1,1.37,30.07
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,1532-7957,"PSYCHOLOGY, SOCIAL",SSCI,"8,781",10.4,Q1,2.83,38.0
European Respiratory Review,0905-9180,1600-0617,RESPIRATORY SYSTEM,SCIE,"7,800",10.4,Q1,2.16,99.31
BMJ Evidence-Based Medicine,2515-446X,2515-4478,"MEDICINE, GENERAL & INTERNAL",SCIE,"1,917",10.4,Q1,1.56,43.64
International Journal of Surgery,1743-9191,1743-9159,SURGERY,SCIE,"21,762",10.3,Q1,4.2,89.73
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,0141-0768,1758-1095,"MEDICINE, GENERAL & INTERNAL",SCIE,"5,354",10.3,Q1,2.45,53.42
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,HEMATOLOGY,SCIE,"16,562",10.3,Q1,2.12,33.85
MOLECULAR ASPECTS OF MEDICINE,0098-2997,1872-9452,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"9,661",10.3,Q1,1.22,34.97
CLINICAL CANCER RESEARCH,1078-0432,1557-3265,ONCOLOGY,SCIE,"92,896",10.2,Q1,2.37,30.29
CELLULAR & MOLECULAR BIOLOGY LETTERS,1425-8153,1689-1392,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"4,878",10.2,Q1,1.47,100.0
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,1545-9985,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"28,276",10.1,Q1,2.52,39.16
CANCER LETTERS,0304-3835,1872-7980,ONCOLOGY,SCIE,"42,657",10.1,Q1,2.25,24.55
MOLECULAR PSYCHIATRY,1359-4184,1476-5578,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"38,513",10.1,Q1,2.21,54.73
Journal of Neuroinflammation,,1742-2094,IMMUNOLOGY,SCIE,"30,624",10.1,Q1,2.17,100.0
Cold Spring Harbor Perspectives in Medicine,2157-1422,2157-1422,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"13,443",10.1,Q1,1.95,0.0
Molecular Biomedicine,,2662-8651,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,"1,198",10.1,Q1,0.95,100.0
BMJ Medicine,,2754-0413,"MEDICINE, GENERAL & INTERNAL",ESCI,998,10.0,Q1,3.05,100.0
ISME Journal,1751-7362,1751-7370,ECOLOGY,SCIE,"41,718",10.0,Q1,2.89,83.82
EClinicalMedicine,,2589-5370,"MEDICINE, GENERAL & INTERNAL",SCIE,"19,277",10.0,Q1,2.7,99.02
International Journal of Biological Sciences,1449-2288,1449-2288,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"21,524",10.0,Q1,1.96,100.0
PLOS MEDICINE,1549-1277,1549-1676,"MEDICINE, GENERAL & INTERNAL",SCIE,"43,413",9.9,Q1,2.82,99.59
Annual Review of Microbiology,0066-4227,1545-3251,MICROBIOLOGY,SCIE,"10,592",9.9,Q1,1.05,60.82
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,1552-9924,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"39,770",9.8,Q1,2.43,98.66
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,1558-254X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"36,851",9.8,Q1,2.29,11.98
Circulation-Arrhythmia and Electrophysiology,1941-3149,1941-3084,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"9,673",9.8,Q1,2.2,18.38
Food Chemistry,0308-8146,1873-7072,NUTRITION & DIETETICS,SCIE,"244,181",9.8,Q1,1.85,9.32
JAMA Network Open,2574-3805,2574-3805,"MEDICINE, GENERAL & INTERNAL",SCIE,"74,261",9.7,Q1,2.97,99.94
LEADERSHIP QUARTERLY,1048-9843,1873-3409,"PSYCHOLOGY, APPLIED",SSCI,"14,229",9.7,Q1,2.9,19.69
Health Psychology Review,1743-7199,1743-7202,"PSYCHOLOGY, CLINICAL",SSCI,"4,072",9.7,Q1,2.14,38.55
SLEEP MEDICINE REVIEWS,1087-0792,1532-2955,CLINICAL NEUROLOGY,SCIE,"14,632",9.7,Q1,1.91,33.07
Burns & Trauma,2321-3868,2321-3876,DERMATOLOGY,SCIE,"2,889",9.6,Q1,2.89,99.44
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","42,085",9.6,Q1,1.98,0.8
Cell Death & Disease,2041-4889,2041-4889,CELL BIOLOGY,SCIE,"70,354",9.6,Q1,1.32,100.0
CLINICAL NUCLEAR MEDICINE,0363-9762,1536-0229,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"6,882",9.6,Q1,1.27,18.66
OPHTHALMOLOGY,0161-6420,1549-4713,OPHTHALMOLOGY,SCIE,"44,185",9.5,Q1,4.9,20.81
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,1527-5418,PEDIATRICS,SCIE,"19,989",9.5,Q1,3.25,22.81
EuroIntervention,1774-024X,1969-6213,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"7,808",9.5,Q1,2.27,0.0
Science China-Life Sciences,1674-7305,1869-1889,BIOLOGY,SCIE,"9,425",9.5,Q1,1.81,1.3
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,1533-3450,UROLOGY & NEPHROLOGY,SCIE,"40,640",9.4,Q1,3.64,11.91
Journal of Physiotherapy,1836-9553,1836-9561,ORTHOPEDICS,SCIE,"3,342",9.4,Q1,2.73,100.0
GENOME BIOLOGY,1474-760X,1474-760X,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"72,492",9.4,Q1,2.51,100.0
Journal of the National Cancer Center,2667-0054,2667-0054,ONCOLOGY,ESCI,965,9.4,Q1,1.75,100.0
Cochrane Database of Systematic Reviews,1469-493X,1361-6137,"MEDICINE, GENERAL & INTERNAL",SCIE,"79,183",9.4,Q1,1.64,0.51
Genes & Diseases,2352-4820,2352-3042,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"6,365",9.4,Q1,1.44,97.88
ACTA NEUROPATHOLOGICA,0001-6322,1432-0533,CLINICAL NEUROLOGY,SCIE,"25,415",9.3,Q1,3.12,74.79
European Urology Oncology,,2588-9311,ONCOLOGY,SCIE,"4,058",9.3,Q1,2.44,29.39
CRITICAL CARE,1364-8535,1466-609X,CRITICAL CARE MEDICINE,SCIE,"37,487",9.3,Q1,2.12,100.0
Journal of Integrative Plant Biology,1672-9072,1744-7909,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"13,205",9.3,Q1,2.06,21.34
JAMA Ophthalmology,2168-6165,2168-6173,OPHTHALMOLOGY,SCIE,"10,509",9.2,Q1,3.79,12.42
BRITISH JOURNAL OF ANAESTHESIA,0007-0912,1471-6771,ANESTHESIOLOGY,SCIE,"28,848",9.2,Q1,3.0,25.9
ANESTHESIOLOGY,0003-3022,1528-1175,ANESTHESIOLOGY,SCIE,"29,017",9.2,Q1,2.81,11.92
LANDSCAPE AND URBAN PLANNING,0169-2046,1872-6062,ECOLOGY,SCIE,"32,710",9.2,Q1,2.4,40.92
CHEST,0012-3692,1931-3543,CRITICAL CARE MEDICINE,SCIE,"50,789",9.2,Q1,2.2,16.89
npj Biofilms and Microbiomes,,2055-5008,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"4,862",9.2,Q1,2.16,100.0
ANGIOGENESIS,0969-6970,1573-7209,PERIPHERAL VASCULAR DISEASE,SCIE,"4,426",9.2,Q1,2.12,60.19
JOURNAL OF INTERNAL MEDICINE,0954-6820,1365-2796,"MEDICINE, GENERAL & INTERNAL",SCIE,"15,520",9.2,Q1,1.86,61.62
ARCHIVOS DE BRONCONEUMOLOGIA,0300-2896,1579-2129,RESPIRATORY SYSTEM,SCIE,"2,677",9.2,Q1,1.57,21.62
Seminars in Immunopathology,1863-2297,1863-2300,IMMUNOLOGY,SCIE,"6,012",9.2,Q1,1.38,60.78
Advances in Nutrition,2161-8313,2156-5376,NUTRITION & DIETETICS,SCIE,"15,340",9.2,Q1,1.33,72.62
JOURNAL OF NUCLEAR MEDICINE,0161-5505,1535-5667,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"29,698",9.1,Q1,2.88,19.6
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,1091-6490,MULTIDISCIPLINARY SCIENCES,SCIE,"734,320",9.1,Q1,2.31,40.13
Journal of Cachexia Sarcopenia and Muscle,2190-5991,2190-6009,GERIATRICS & GERONTOLOGY,SCIE,"13,644",9.1,Q1,2.15,98.06
Current Environmental Health Reports,,2196-5412,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","3,928",9.1,Q1,2.14,36.29
Liver Cancer,2235-1795,1664-5553,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"3,280",9.1,Q1,2.08,100.0
PSYCHOLOGY & MARKETING,0742-6046,1520-6793,"PSYCHOLOGY, APPLIED",SSCI,"13,017",9.1,Q1,2.07,41.57
TRENDS IN CARDIOVASCULAR MEDICINE,1050-1738,1873-2615,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"4,437",9.0,Q1,2.66,20.27
NEUROLOGY,0028-3878,1526-632X,CLINICAL NEUROLOGY,SCIE,"97,729",9.0,Q1,2.63,17.83
Osteoarthritis and Cartilage,1063-4584,1522-9653,ORTHOPEDICS,SCIE,"21,994",9.0,Q1,2.49,40.38
Biological Psychiatry,0006-3223,1873-2402,NEUROSCIENCES,SCIE,"40,180",9.0,Q1,2.33,25.0
HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,"PSYCHOLOGY, APPLIED",SSCI,"6,718",9.0,Q1,2.14,43.71
Cell Genomics,2666-979X,2666-979X,CELL BIOLOGY,ESCI,"2,173",9.0,Q1,2.09,98.43
JOURNAL OF MANAGEMENT,0149-2063,1557-1211,"PSYCHOLOGY, APPLIED",SSCI,"37,269",9.0,Q1,1.91,21.28
BIORESOURCE TECHNOLOGY,0960-8524,1873-2976,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"173,041",9.0,Q1,1.67,7.92
LEARNING AND INDIVIDUAL DIFFERENCES,1041-6080,1873-3425,"PSYCHOLOGY, EDUCATIONAL",SSCI,"8,957",9.0,Q1,1.45,38.82
COMPUTERS IN HUMAN BEHAVIOR,0747-5632,1873-7692,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"58,245",8.9,Q1,3.08,27.57
STROKE,0039-2499,1524-4628,CLINICAL NEUROLOGY,SCIE,"74,636",8.9,Q1,2.29,11.3
Journal of Pharmaceutical Analysis,2095-1779,2214-0883,PHARMACOLOGY & PHARMACY,SCIE,"5,787",8.9,Q1,2.01,99.71
Dialogues in Clinical Neuroscience,1294-8322,1958-5969,NEUROSCIENCES,SCIE,"6,692",8.9,Q1,1.08,100.0
Cell Communication and Signaling,,1478-811X,CELL BIOLOGY,SCIE,"13,195",8.9,Q1,1.06,100.0
AMERICAN JOURNAL OF KIDNEY DISEASES,0272-6386,1523-6838,UROLOGY & NEPHROLOGY,SCIE,"25,811",8.8,Q1,3.31,13.13
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,1175-0561,1179-1888,DERMATOLOGY,SCIE,"6,630",8.8,Q1,2.81,38.03
BJS-British Journal of Surgery,0007-1323,1365-2168,SURGERY,SCIE,"24,238",8.8,Q1,2.69,44.31
EDUCATIONAL PSYCHOLOGY REVIEW,1040-726X,1573-336X,"PSYCHOLOGY, EDUCATIONAL",SSCI,"12,645",8.8,Q1,2.58,53.9
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,1040-8398,1549-7852,NUTRITION & DIETETICS,SCIE,"48,809",8.8,Q1,0.96,5.33
Annual Review of Animal Biosciences,2165-8102,2165-8110,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"2,445",8.7,Q1,3.53,57.14
Nature Mental Health,,2731-6076,PSYCHIATRY,ESCI,897,8.7,Q1,2.59,26.05
DEVELOPMENTAL CELL,1534-5807,1878-1551,CELL BIOLOGY,SCIE,"33,848",8.7,Q1,2.28,29.51
Journal of Crohns & Colitis,1873-9946,1876-4479,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"15,710",8.7,Q1,1.7,28.74
International Journal of Stroke,1747-4930,1747-4949,CLINICAL NEUROLOGY,SCIE,"8,376",8.7,Q1,1.64,25.68
CANCER AND METASTASIS REVIEWS,0167-7659,1573-7233,ONCOLOGY,SCIE,"8,047",8.7,Q1,1.18,44.97
Journal of Stroke,2287-6391,2287-6405,CLINICAL NEUROLOGY,SCIE,"2,556",8.6,Q1,1.8,100.0
Annual Review of Genetics,0066-4197,1545-2948,GENETICS & HEREDITY,SCIE,"7,733",8.6,Q1,1.15,63.33
CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,1469-0691,INFECTIOUS DISEASES,SCIE,"26,406",8.5,Q1,2.35,29.57
Horticulture Research,2662-6810,2052-7276,GENETICS & HEREDITY,SCIE,"12,710",8.5,Q1,2.34,99.66
Circulation-Heart Failure,1941-3289,1941-3297,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"10,871",8.5,Q1,2.11,11.4
MEDICAL JOURNAL OF AUSTRALIA,0025-729X,1326-5377,"MEDICINE, GENERAL & INTERNAL",SCIE,"12,517",8.5,Q1,1.56,73.11
International Journal of Biological Macromolecules,0141-8130,1879-0003,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"216,819",8.5,Q1,1.52,4.95
Perspectives on Psychological Science,1745-6916,1745-6924,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"17,848",8.4,Q1,3.35,35.74
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,0002-9378,1097-6868,OBSTETRICS & GYNECOLOGY,SCIE,"45,254",8.4,Q1,3.01,16.41
Neurology-Neuroimmunology & Neuroinflammation,2332-7812,2332-7812,CLINICAL NEUROLOGY,SCIE,"6,102",8.4,Q1,2.43,98.75
BIOSCIENCE,0006-3568,1525-3244,BIOLOGY,SCIE,"21,185",8.4,Q1,2.05,40.1
Brain Stimulation,1935-861X,1876-4754,CLINICAL NEUROLOGY,SCIE,"11,760",8.4,Q1,1.87,95.87
ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,PHARMACOLOGY & PHARMACY,SCIE,"18,180",8.4,Q1,1.49,8.3
Cold Spring Harbor Perspectives in Biology,1943-0264,1943-0264,CELL BIOLOGY,SCIE,"23,743",8.4,Q1,1.34,0.51
Cancer Biology & Medicine,2095-3941,2095-3941,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"3,725",8.4,Q1,0.98,100.0
Integrated Environmental Assessment and Management,1551-3777,1551-3793,TOXICOLOGY,SCIE,"5,279",8.4,Q1,0.56,39.02
PHYTOMEDICINE,0944-7113,1618-095X,INTEGRATIVE & COMPLEMENTARY MEDICINE,SCIE,"30,999",8.3,Q1,2.19,15.16
BMC Medicine,1741-7015,1741-7015,"MEDICINE, GENERAL & INTERNAL",SCIE,"31,553",8.3,Q1,2.17,99.87
THORAX,0040-6376,1468-3296,RESPIRATORY SYSTEM,SCIE,"21,854",8.3,Q1,2.15,36.16
EMBO Molecular Medicine,1757-4676,1757-4684,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"12,854",8.3,Q1,2.07,96.24
EMBO JOURNAL,0261-4189,1460-2075,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"63,385",8.3,Q1,1.65,64.9
Annual Review of Virology,2327-056X,2327-0578,VIROLOGY,SCIE,"2,926",8.3,Q1,1.55,94.2
ESMO Open,,2059-7029,ONCOLOGY,SCIE,"7,627",8.3,Q1,1.52,97.59
AUTOIMMUNITY REVIEWS,1568-9972,1873-0183,IMMUNOLOGY,SCIE,"13,951",8.3,Q1,1.42,22.69
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,1879-2561,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"11,462",8.3,Q1,1.29,19.96
IMMUNOLOGICAL REVIEWS,0105-2896,1600-065X,IMMUNOLOGY,SCIE,"18,410",8.3,Q1,0.91,31.55
Pulse,2235-8676,2235-8668,PERIPHERAL VASCULAR DISEASE,ESCI,382,8.3,Q1,0.75,100.0
AMERICAN JOURNAL OF TRANSPLANTATION,1600-6135,1600-6143,SURGERY,SCIE,"25,685",8.2,Q1,3.18,22.24
Particle and Fibre Toxicology,1743-8977,1743-8977,TOXICOLOGY,SCIE,"5,679",8.2,Q1,2.1,100.0
Environmental Chemistry and Ecotoxicology,,2590-1826,TOXICOLOGY,ESCI,"1,033",8.2,Q1,2.02,100.0
npj Parkinsons Disease,,2373-8057,NEUROSCIENCES,SCIE,"5,293",8.2,Q1,2.02,100.0
SUSTAINABLE DEVELOPMENT,0968-0802,1099-1719,DEVELOPMENT STUDIES,SSCI,"12,206",8.2,Q1,1.97,33.23
HYPERTENSION,0194-911X,1524-4563,PERIPHERAL VASCULAR DISEASE,SCIE,"40,426",8.2,Q1,1.88,12.08
Cancer Immunology Research,2326-6066,2326-6074,IMMUNOLOGY,SCIE,"12,853",8.2,Q1,1.82,25.75
JOURNAL OF CARDIAC FAILURE,1071-9164,1532-8414,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"7,593",8.2,Q1,1.77,16.67
FREE RADICAL BIOLOGY AND MEDICINE,0891-5849,1873-4596,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"53,590",8.2,Q1,1.71,24.98
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,1939-5116,1939-0041,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"5,656",8.2,Q1,0.7,20.74
HEALTH AFFAIRS,0278-2715,0278-2715,HEALTH CARE SCIENCES & SERVICES,SCIE,"19,277",8.1,Q1,2.83,21.41
Lancet Regional Health-Western Pacific,,2666-6065,HEALTH CARE SCIENCES & SERVICES,SCIE,"4,649",8.1,Q1,2.48,97.03
AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,1537-6605,GENETICS & HEREDITY,SCIE,"37,329",8.1,Q1,2.29,25.91
DRUG DELIVERY,1071-7544,1521-0464,PHARMACOLOGY & PHARMACY,SCIE,"12,596",8.1,Q1,2.29,99.53
Diagnostic and Interventional Imaging,2211-5684,2211-5684,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"3,782",8.1,Q1,1.94,15.08
AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,1572-0241,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"32,950",8.1,Q1,1.64,14.74
Tumour Virus Research,2666-6790,2666-6790,VIROLOGY,ESCI,351,8.1,Q1,1.63,96.77
Current Pollution Reports,2198-6592,2198-6592,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"2,792",8.1,Q1,1.49,19.53
Adolescent Research Review,2363-8346,2363-8354,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"1,350",8.1,Q1,1.32,69.86
