Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
Nature Reviews Rheumatology,1759-4790,1759-4804,RHEUMATOLOGY,SCIE,"17,758",32.7,Q1,5.44,2.0
Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,2327-0616,"PSYCHOLOGY, APPLIED",SSCI,"6,408",31.1,Q1,8.73,68.42
LANCET INFECTIOUS DISEASES,1473-3099,1474-4457,INFECTIOUS DISEASES,SCIE,"39,986",31.0,Q1,7.54,24.83
Cell Metabolism,1550-4131,1932-7420,CELL BIOLOGY,SCIE,"62,544",30.9,Q1,5.69,22.69
Annual Review of Psychology,0066-4308,1545-2085,PSYCHOLOGY,SCIE,"29,863",29.4,Q1,5.32,61.33
NATURE GENETICS,1061-4036,1546-1718,GENETICS & HEREDITY,SCIE,"109,385",29.0,Q1,8.97,45.27
Nature Cancer,,2662-1347,ONCOLOGY,SCIE,"10,654",28.5,Q1,5.34,33.53
NATURE IMMUNOLOGY,1529-2908,1529-2916,IMMUNOLOGY,SCIE,"56,248",27.6,Q1,5.38,24.95
NATURE REVIEWS NEUROSCIENCE,1471-003X,1471-0048,NEUROSCIENCES,SCIE,"47,681",26.7,Q1,4.08,0.74
Immunity,1074-7613,1097-4180,IMMUNOLOGY,SCIE,"75,218",26.3,Q1,5.09,20.0
GUT,0017-5749,1468-3288,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"62,303",26.2,Q1,5.58,33.33
Gastroenterology,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"89,848",25.9,Q1,5.56,22.83
CELL RESEARCH,1001-0602,1748-7838,CELL BIOLOGY,SCIE,"29,251",25.9,Q1,3.07,59.78
Innovation,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,"9,272",25.7,Q1,5.0,99.44
EUROPEAN UROLOGY,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,SCIE,"36,969",25.2,Q1,7.02,37.5
Lancet Public Health,2468-2667,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","13,242",25.2,Q1,6.77,97.74
Cancer Communications,,2523-3548,ONCOLOGY,SCIE,"6,881",24.9,Q1,3.66,100.0
Lancet Psychiatry,2215-0374,,PSYCHIATRY,"SCIE, SSCI","20,482",24.8,Q1,7.21,31.51
Lancet Digital Health,,2589-7500,MEDICAL INFORMATICS,SCIE,"8,495",24.1,Q1,4.48,98.24
Molecular Plant,1674-2052,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"27,566",24.1,Q1,4.36,14.72
JAMA Internal Medicine,2168-6106,2168-6114,"MEDICINE, GENERAL & INTERNAL",SCIE,"26,042",23.3,Q1,6.0,17.16
BLOOD,0006-4971,1528-0020,HEMATOLOGY,SCIE,"165,822",23.1,Q1,3.67,20.73
Military Medical Research,2095-7467,2054-9369,"MEDICINE, GENERAL & INTERNAL",SCIE,"5,419",22.9,Q1,3.09,100.0
Exploration,2766-8509,2766-2098,MULTIDISCIPLINARY SCIENCES,ESCI,"4,630",22.5,Q1,2.04,99.53
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"117,273",22.3,Q1,5.1,19.03
INTENSIVE CARE MEDICINE,0342-4642,1432-1238,CRITICAL CARE MEDICINE,SCIE,"30,481",22.1,Q1,4.96,34.63
Annual Review of Medicine,0066-4219,1545-326X,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"7,944",22.1,Q1,2.59,61.68
Nature Reviews Psychology,,2731-0574,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"2,378",21.8,Q1,4.24,0.67
DRUG RESISTANCE UPDATES,1368-7646,1532-2084,PHARMACOLOGY & PHARMACY,SCIE,"7,075",21.7,Q1,3.88,33.82
Lancet Planetary Health,,2542-5196,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","11,302",21.6,Q1,5.05,95.09
